baseline,rssi_sigma,path_loss_exponent,mac,n,rmse,rmse_ci95_low,rmse_ci95_high,mean_error,mean_error_ci95_low,mean_error_ci95_high,max_observed_error,mean_max_error_global,mean_max_error_global_ci95_low,mean_max_error_global_ci95_high
60,3,3.8,00:02,30,2.4836550403682365,2.4110108845551,2.554233981774169,2.47632478548424,2.4039155759599056,2.548733995008574,2.846360113204962,13.075494214118205,7.822437505572125,18.328550922664284
60,3,3.8,00:03,30,2.0122339686309836,1.8989546701506197,2.1194674448403186,1.9902710929780985,1.8776797862223737,2.1028623997338234,2.496875988985495,13.075494214118205,7.822437505572125,18.328550922664284
60,3,3.8,00:04,30,19.02076205472945,0.0,27.413184317974803,12.926172630128317,7.627328590112185,18.22501667014445,75.62170970664874,13.075494214118205,7.822437505572125,18.328550922664284
60,4,3.8,00:02,30,2.5705253379433657,2.5003053573121132,2.6388774405443796,2.5638973354021077,2.4938435745713794,2.633951096232836,2.9222377365052927,12.473497322384656,7.449325210583289,17.497669434186022
60,4,3.8,00:03,30,2.0883561887824724,1.9790836270197267,2.192188664261028,2.0687073797141617,1.9601758904331825,2.177238868995141,2.5539323885464094,12.473497322384656,7.449325210583289,17.497669434186022
60,4,3.8,00:04,30,18.168283090857987,0.0,26.362193482609175,12.323875401639695,7.254451018741675,17.393299784537714,73.262796569638,12.473497322384656,7.449325210583289,17.497669434186022
60,5,3.8,00:02,30,2.6015954467857356,2.5324921983844635,2.6689100776523684,2.5952512646941077,2.526298436086168,2.664204093302047,2.949885275167459,12.07900887410113,7.157493965268854,17.000523782933406
60,5,3.8,00:03,30,2.2803558147216134,2.1756090547143243,2.380497957259025,2.264006184996185,2.1604956069329084,2.367516763059461,2.734688837059301,12.07900887410113,7.157493965268854,17.000523782933406
60,5,3.8,00:04,30,17.701099864347476,0.0,25.886192479965658,11.932178860592794,6.967039275086631,16.897318446098957,72.51826980454821,12.07900887410113,7.157493965268854,17.000523782933406
60,6,3.2,00:02,30,0.9007061325100211,0.8389239877162921,0.9585142759064749,0.8835115334829433,0.8169973510480825,0.9500257159178042,1.1581568330144103,40.13237110328297,26.034994943097146,54.229747263468795
60,6,3.2,00:03,30,11.190556913571376,11.12744429137231,11.25331558315886,11.189337388318561,11.12660111344485,11.252073663192272,11.661279766188997,40.13237110328297,26.034994943097146,54.229747263468795
60,6,3.2,00:04,30,54.51281878362743,29.067119787209204,71.40306275468328,39.07282676001056,24.637637927966193,53.50801559205492,167.71553968311144,40.13237110328297,26.034994943097146,54.229747263468795
60,6,3.5,00:02,30,1.6251654934902495,1.529878782885399,1.7151666601645168,1.6072483404419675,1.5158596838007488,1.6986369970831863,2.106374820638913,18.698458956573177,11.674806613664694,25.72211129948166
60,6,3.5,00:03,30,7.243968249476495,7.127281584029932,7.358804877206278,7.237632835888309,7.1226084060198085,7.35265726575681,7.909703505740125,18.698458956573177,11.674806613664694,25.72211129948166
60,6,3.5,00:04,30,26.059632183320613,3.3352495316998647,36.70265616574929,17.44032319634836,10.087147485298326,24.793498907398394,97.73843959432942,18.698458956573177,11.674806613664694,25.72211129948166
60,6,3.8,00:02,30,2.60163111587138,2.5326529490748073,2.668827076766684,2.5953101221272132,2.526482796188974,2.6641374480654525,2.9499485933674756,11.868395864544892,6.879931036760114,16.85686069232967
60,6,3.8,00:03,30,2.332773077336185,2.229824413637782,2.4313666002958074,2.3172507084154406,2.2152270479971286,2.4192743688337526,2.7794139791758963,11.868395864544892,6.879931036760114,16.85686069232967
60,6,3.8,00:04,30,17.68850324821387,0.0,26.193413015317432,11.720137470317217,6.689077374600899,16.751197566033536,74.24304797971439,11.868395864544892,6.879931036760114,16.85686069232967
60,6,4.1,00:02,30,3.806704683567347,3.71876754528936,3.892655782353444,3.7996562043154385,3.7117275372371097,3.8875848713937673,4.150305453816142,10.923287737857043,8.249967479974616,13.59660799573947
60,6,4.1,00:03,30,1.975352682437856,1.9460278920772751,2.0042484584716895,1.9738339705343406,1.944424592349121,2.0032433487195602,2.1548462964362947,10.923287737857043,8.249967479974616,13.59660799573947
